label,lt_ank_frontal_value_Mean,lt_ank_frontal_value_RMS,lt_ank_frontal_value_SD,lt_ank_frontal_value_Median,lt_ank_frontal_value_Variance,lt_ank_frontal_value_MaxValue,lt_ank_frontal_value_MinValue,lt_ank_sagittal_value_Mean,lt_ank_sagittal_value_RMS,lt_ank_sagittal_value_SD,lt_ank_sagittal_value_Median,lt_ank_sagittal_value_Variance,lt_ank_sagittal_value_MaxValue,lt_ank_sagittal_value_MinValue,lt_ank_transe_value_Mean,lt_ank_transe_value_RMS,lt_ank_transe_value_SD,lt_ank_transe_value_Median,lt_ank_transe_value_Variance,lt_ank_transe_value_MaxValue,lt_ank_transe_value_MinValue,lt_hip_frontal_value_Mean,lt_hip_frontal_value_RMS,lt_hip_frontal_value_SD,lt_hip_frontal_value_Median,lt_hip_frontal_value_Variance,lt_hip_frontal_value_MaxValue,lt_hip_frontal_value_MinValue,lt_hip_sagittal_value_Mean,lt_hip_sagittal_value_RMS,lt_hip_sagittal_value_SD,lt_hip_sagittal_value_Median,lt_hip_sagittal_value_Variance,lt_hip_sagittal_value_MaxValue,lt_hip_sagittal_value_MinValue,lt_hip_transe_value_Mean,lt_hip_transe_value_RMS,lt_hip_transe_value_SD,lt_hip_transe_value_Median,lt_hip_transe_value_Variance,lt_hip_transe_value_MaxValue,lt_hip_transe_value_MinValue,lt_knee_frontal_value_Mean,lt_knee_frontal_value_RMS,lt_knee_frontal_value_SD,lt_knee_frontal_value_Median,lt_knee_frontal_value_Variance,lt_knee_frontal_value_MaxValue,lt_knee_frontal_value_MinValue,lt_knee_sagittal_value_Mean,lt_knee_sagittal_value_RMS,lt_knee_sagittal_value_SD,lt_knee_sagittal_value_Median,lt_knee_sagittal_value_Variance,lt_knee_sagittal_value_MaxValue,lt_knee_sagittal_value_MinValue,lt_knee_transe_value_Mean,lt_knee_transe_value_RMS,lt_knee_transe_value_SD,lt_knee_transe_value_Median,lt_knee_transe_value_Variance,lt_knee_transe_value_MaxValue,lt_knee_transe_value_MinValue,lt_plv_frontal_value_Mean,lt_plv_frontal_value_RMS,lt_plv_frontal_value_SD,lt_plv_frontal_value_Median,lt_plv_frontal_value_Variance,lt_plv_frontal_value_MaxValue,lt_plv_frontal_value_MinValue,lt_plv_sagittal_value_Mean,lt_plv_sagittal_value_RMS,lt_plv_sagittal_value_SD,lt_plv_sagittal_value_Median,lt_plv_sagittal_value_Variance,lt_plv_sagittal_value_MaxValue,lt_plv_sagittal_value_MinValue,lt_plv_transe_value_Mean,lt_plv_transe_value_RMS,lt_plv_transe_value_SD,lt_plv_transe_value_Median,lt_plv_transe_value_Variance,lt_plv_transe_value_MaxValue,lt_plv_transe_value_MinValue,rt_ank_frontal_value_Mean,rt_ank_frontal_value_RMS,rt_ank_frontal_value_SD,rt_ank_frontal_value_Median,rt_ank_frontal_value_Variance,rt_ank_frontal_value_MaxValue,rt_ank_frontal_value_MinValue,rt_ank_sagittal_value_Mean,rt_ank_sagittal_value_RMS,rt_ank_sagittal_value_SD,rt_ank_sagittal_value_Median,rt_ank_sagittal_value_Variance,rt_ank_sagittal_value_MaxValue,rt_ank_sagittal_value_MinValue,rt_ank_transe_value_Mean,rt_ank_transe_value_RMS,rt_ank_transe_value_SD,rt_ank_transe_value_Median,rt_ank_transe_value_Variance,rt_ank_transe_value_MaxValue,rt_ank_transe_value_MinValue,rt_hip_frontal_value_Mean,rt_hip_frontal_value_RMS,rt_hip_frontal_value_SD,rt_hip_frontal_value_Median,rt_hip_frontal_value_Variance,rt_hip_frontal_value_MaxValue,rt_hip_frontal_value_MinValue,rt_hip_sagittal_value_Mean,rt_hip_sagittal_value_RMS,rt_hip_sagittal_value_SD,rt_hip_sagittal_value_Median,rt_hip_sagittal_value_Variance,rt_hip_sagittal_value_MaxValue,rt_hip_sagittal_value_MinValue,rt_hip_transe_value_Mean,rt_hip_transe_value_RMS,rt_hip_transe_value_SD,rt_hip_transe_value_Median,rt_hip_transe_value_Variance,rt_hip_transe_value_MaxValue,rt_hip_transe_value_MinValue,rt_knee_frontal_value_Mean,rt_knee_frontal_value_RMS,rt_knee_frontal_value_SD,rt_knee_frontal_value_Median,rt_knee_frontal_value_Variance,rt_knee_frontal_value_MaxValue,rt_knee_frontal_value_MinValue,rt_knee_sagittal_value_Mean,rt_knee_sagittal_value_RMS,rt_knee_sagittal_value_SD,rt_knee_sagittal_value_Median,rt_knee_sagittal_value_Variance,rt_knee_sagittal_value_MaxValue,rt_knee_sagittal_value_MinValue,rt_knee_transe_value_Mean,rt_knee_transe_value_RMS,rt_knee_transe_value_SD,rt_knee_transe_value_Median,rt_knee_transe_value_Variance,rt_knee_transe_value_MaxValue,rt_knee_transe_value_MinValue,rt_plv_frontal_value_Mean,rt_plv_frontal_value_RMS,rt_plv_frontal_value_SD,rt_plv_frontal_value_Median,rt_plv_frontal_value_Variance,rt_plv_frontal_value_MaxValue,rt_plv_frontal_value_MinValue,rt_plv_sagittal_value_Mean,rt_plv_sagittal_value_RMS,rt_plv_sagittal_value_SD,rt_plv_sagittal_value_Median,rt_plv_sagittal_value_Variance,rt_plv_sagittal_value_MaxValue,rt_plv_sagittal_value_MinValue,rt_plv_transe_value_Mean,rt_plv_transe_value_RMS,rt_plv_transe_value_SD,rt_plv_transe_value_Median,rt_plv_transe_value_Variance,rt_plv_transe_value_MaxValue,rt_plv_transe_value_MinValue
0,4.459317609,4.500255229,0.608647206,4.49180048,0.370451422,5.42646192,3.415369,28.74263729,30.85200209,11.26782599,31.465128,126.9639026,41.817633,6.939376,-24.44469472,24.56308907,2.420798953,-24.62086592,5.860267572,-20.204243,-28.21456676,-28.90409278,31.05575804,11.41506301,-30.25320648,130.3036635,-10.532435,-43.93767452,61.77306363,71.0898045,35.35855488,61.71140508,1250.227403,117.5361529,2.589397,19.09404785,24.97867827,16.18472187,12.11703452,261.9452219,52.30578296,2.46209168,24.11996457,25.0720203,6.877633733,25.3885646,47.30184577,32.63863964,8.29243,72.44391387,85.75063765,46.10967047,74.3942756,2126.101711,137.6325755,0.062742,31.27912591,40.89398777,26.47402243,33.0841696,700.8738634,69.12261344,-9.810161,0.829516903,2.455719836,2.322904698,1.55337208,5.395886234,3.37228848,-3.545592,18.60120808,18.78135992,2.608042157,18.80191668,6.801883895,22.67418912,10.622085,3.134930378,3.275153997,0.952803066,3.1013582,0.907833683,5.368531,1.65823284,2.057047332,2.267597905,0.958990143,2.52367708,0.919662095,3.06574248,-0.018561,26.37015934,28.19655007,10.03278293,28.85820548,100.6567333,37.7116232,6.818472,-16.1535339,17.01779461,5.38101875,-18.82360348,28.95536279,-4.296914,-21.6769776,-25.38546255,26.22400332,6.611309073,-25.881084,43.70940766,-13.386256,-34.4382496,65.38823612,72.36792457,31.16263844,69.24467964,971.1100344,109.1197071,7.047031,-3.625927615,10.50909889,9.912958516,-4.85998888,98.26674654,14.10686464,-17.921879,9.123550505,9.208667912,1.255386323,9.07221472,1.575994821,11.6020334,7.23672372,76.95263328,86.78535027,40.32479566,80.15312616,1626.089145,133.4981664,8.217632,25.15439563,28.88253679,14.26435716,27.1051984,203.4718853,45.25439072,-0.03791,-0.82590193,2.452870949,2.321164904,-1.52191828,5.387806513,3.5455152,-3.3720648,18.59180112,18.77507921,2.630022027,18.79782596,6.917015864,22.67929488,10.549215,-3.131990499,3.272932721,0.954856716,-3.11908524,0.911751348,-1.65808808,-5.3728182
0,4.375429013,4.399828703,0.465031946,4.29944914,0.216254711,5.15335704,3.536641,28.46338363,30.63187025,11.37667526,31.79727804,129.4287401,40.9596267,6.284054,-24.12996075,24.20035371,1.853681525,-23.85299138,3.436135194,-20.716057,-27.1883566,-28.1381938,30.08900497,10.71103042,-31.11288848,114.7261726,-9.981797,-40.21180932,57.84781674,66.47698714,32.91729207,59.2626623,1083.548117,104.1483982,1.909391,16.68743097,21.43921106,13.52705115,10.55082718,182.9811127,40.8342922,2.541586,24.21450104,25.22660764,7.109153906,25.13449872,50.54006927,33.1733305,8.54832,70.45497113,83.46189791,44.96671324,73.01535464,2022.0053,130.1103355,0.071054,30.33948397,39.53815404,25.47958302,32.23879504,649.2091509,63.51985248,-9.031749,1.113430617,2.645718331,2.411990615,2.05828442,5.817698725,3.7291976,-3.37245944,17.40573125,17.6992187,3.225816346,17.6701278,10.4058911,22.56444688,10.484962,1.635672773,2.085092312,1.299579306,1.9437791,1.688906373,3.1309989,-1.00369812,1.957842198,2.187110094,0.979697676,2.6223315,0.959807536,2.83149824,-0.178801,26.95505174,28.90014582,10.47521123,30.1030326,109.7300503,37.74027946,5.532858,-15.60428035,16.54694936,5.532725138,-19.3507645,30.61104745,-3.340863,-20.45703708,-26.81402117,27.91349205,7.795705213,-26.49324184,60.77301977,-13.820424,-39.174534,62.20706686,68.9246688,29.82783448,67.00155316,889.6997099,100.4741008,6.285352,-4.295573636,9.581414055,8.607267735,-3.9198876,74.08505786,9.43563308,-16.740685,9.665719578,9.768631042,1.421273249,9.42650956,2.020017647,12.80107196,7.90544994,75.79057892,85.5949588,39.97634263,79.7916295,1598.10797,128.2871337,8.297082,24.19129825,27.82923279,13.82533035,27.2709705,191.1397593,42.0051424,-0.625489,-1.113430617,2.645718331,2.411990615,-2.05828442,5.817698725,3.37245944,-3.7291976,17.40573125,17.6992187,3.225816346,17.6701278,10.4058911,22.56444688,10.484962,-1.635672773,2.085092312,1.299579306,-1.9437791,1.688906373,1.00369812,-3.1309989
0,4.263371827,4.291770381,0.495361694,4.2422675,0.245383208,5.13936175,3.501078,28.05553712,30.18633795,11.19566231,31.421379,125.3428545,39.81283,8.088857,-23.67696381,23.75960829,1.989867938,-23.622894,3.959574411,-20.566328,-27.13523275,-30.73278472,33.08987416,12.32639738,-33.6335105,151.9400725,-10.711404,-45.37570875,58.49559411,67.21046011,33.2635917,59.17079,1106.466533,106.694855,5.885766,16.30358067,21.11830992,13.48992343,11.15187,181.9780341,41.075657,1.425589,25.31212373,26.35596806,7.380567685,26.2737435,54.47277936,34.9279335,8.538936,69.46848558,82.65184108,45.0056764,73.40173725,2025.510908,129.366852,0.183853,30.25086725,39.80638899,26.00246087,32.182358,676.1279711,64.73056,-9.045547,1.639132641,2.434917598,1.809554799,2.2752515,3.274488571,3.90563,-0.840274,19.71681873,19.87929591,2.549078223,19.9007175,6.497799787,23.87629225,13.019807,3.096807819,3.197786884,0.801235613,3.073465,0.641978508,4.267688,0.685338,1.721837644,1.95536672,0.931300961,2.17286375,0.867321481,2.70856925,-0.171374,26.98586583,28.85420989,10.26507471,30.641234,105.3717587,38.0323905,8.892818,-14.30816804,15.25303081,5.311364128,-16.9220455,28.2105889,-3.385219,-19.8087775,-27.49176296,28.54514009,7.721286965,-27.094527,59.6182724,-15.289266,-38.6728095,63.71479698,70.43615494,30.17769598,68.732018,910.6933345,105.440147,10.670594,-3.724298401,10.16236897,9.502493254,-3.7599645,90.29737804,13.619892,-18.097006,10.69350763,10.80809989,1.577516074,10.5468675,2.488556962,13.99897,7.887718,75.37400854,84.91518249,39.30191503,80.5061985,1544.640525,127.89666,10.010082,24.82824423,28.61683556,14.30057276,27.64823575,204.5063813,42.924795,-0.477677,-1.639132641,2.434917598,1.809554799,-2.2752515,3.274488571,0.840274,-3.90563,19.71681873,19.87929591,2.549078223,19.9007175,6.497799787,23.87629225,13.019807,-3.096807819,3.197786884,0.801235613,-3.073465,0.641978508,-0.685338,-4.267688
0,4.099071691,4.128329422,0.493074274,4.13820128,0.24312224,5.0501592,3.29747,26.12547813,28.5611844,11.59882118,28.5491974,134.5326528,39.93165395,6.920411,-23.0127187,23.09876649,2.001866465,-23.202,4.007469343,-19.703335,-26.79542744,-31.16000256,33.88750695,13.38624447,-31.49216292,179.191541,-11.447559,-48.79105655,55.70911051,64.82824924,33.31949692,53.46146064,1110.188875,106.673684,4.952998,15.14804613,20.43443048,13.78345653,8.72972125,189.9836739,42.17945196,1.545374,25.25954786,26.46221539,7.926293341,26.06269952,62.82612612,35.33599656,8.796771,64.56694446,78.526582,44.91669067,62.85231584,2017.509101,127.7515693,0.022245,27.98247644,38.25452841,26.21438262,27.0857985,687.1938561,64.18832695,-8.966307,1.503773426,2.540224909,2.057503864,2.3149968,4.233322151,4.11126956,-1.92233436,19.41514034,19.6483827,3.033542656,19.68081104,9.202381049,24.32737801,12.357297,3.215029993,3.320582466,0.834714658,3.04703579,0.696748561,5.07722095,1.84483137,1.738940506,1.941628738,0.868025435,2.16641504,0.753468155,2.71807734,-0.042476,26.08883546,28.08872534,10.46100603,28.25816262,109.4326472,38.014563,8.875263,-14.41522131,15.22508464,4.923884919,-16.8867134,24.2446427,-4.154371,-19.85911472,-26.7459523,27.71531725,7.30210754,-27.13482459,53.32077453,-14.552751,-37.6952035,60.31580845,66.92440225,29.14254033,62.38922028,849.2876566,100.9453895,11.096713,-5.350082781,9.72103746,8.156833661,-5.75382123,66.53393538,8.58528175,-17.131544,11.91853416,12.15555843,2.400667744,11.69943385,5.763205616,15.60320616,8.246896,71.74380984,81.48036074,38.81744049,72.89884668,1506.793686,126.2305893,11.090029,23.51762429,27.6149052,14.54645595,25.0781004,211.5993808,42.52790762,0.020751,-1.503773426,2.540224909,2.057503864,-2.3149968,4.233322151,1.92233436,-4.11126956,19.41514034,19.6483827,3.033542656,19.68081104,9.202381049,24.32737801,12.357297,-3.215029993,3.320582466,0.834714658,-3.04703579,0.696748561,-1.84483137,-5.07722095
0,4.016773911,4.047513971,0.50037552,3.977275,0.250375661,4.8728148,3.169006,24.66684146,27.22620019,11.58192723,25.778624,134.1410384,39.409561,6.572409,-22.67639139,22.76715173,2.041008675,-22.545748,4.16571641,-19.153864,-26.1136118,-30.4268779,33.4247218,13.90436262,-29.805157,193.3313,-10.933947,-49.7954974,51.75010832,61.25996519,32.9462702,48.1413996,1085.45672,103.4735403,2.715435,12.67951864,17.92203512,12.7292357,5.5117464,162.0334415,38.0307495,0.702896,25.02054327,26.44104146,8.592560647,26.028592,73.83209848,36.6146516,8.869418,59.94351021,74.82219195,45.00208163,54.2638874,2025.187351,126.0797202,0.064307,25.66241125,36.56297109,26.17392631,20.3316817,685.0744186,63.3332312,-9.968995,1.631019909,2.158853743,1.421417524,1.7462215,2.020427777,4.2318372,-0.5150624,19.25695794,19.58073155,3.563757162,19.5808922,12.70036511,25.639512,11.155272,3.347612456,3.587331747,1.295787138,3.360976,1.679064306,5.2722994,1.260345,1.489274731,1.716503089,0.857745923,1.8933436,0.735728068,2.4761415,-0.040845,23.93221898,26.3294078,11.03138594,24.5466771,121.6914758,37.3744573,8.101435,-13.01547419,13.90306031,4.912376495,-15.3782734,24.13144283,-4.164093,-18.5683835,-26.60734152,27.83470876,8.215144131,-25.724603,67.48859309,-14.424565,-39.159292,56.71454064,64.27735778,30.40049339,57.688099,924.1899984,100.8277452,9.375078,-5.51133655,10.2042655,8.630743068,-6.439225,74.4897259,9.6359684,-17.696753,13.03068315,13.27507578,2.5481803,13.136555,6.493222839,17.9062034,8.149899,66.33959331,77.64134439,40.54021566,64.9740047,1643.509085,125.7145255,9.615026,20.92986059,26.19812074,15.83557042,21.1528044,250.7652905,43.415824,-0.510601,-1.631019909,2.158853743,1.421417524,-1.7462215,2.020427777,0.5150624,-4.2318372,19.25695794,19.58073155,3.563757162,19.5808922,12.70036511,25.639512,11.155272,-3.347612456,3.587331747,1.295787138,-3.360976,1.679064306,-1.260345,-5.2722994
1,2.62665163,2.785920982,0.933101014,2.71281,0.870677503,4.396675,1.1394068,23.40060257,25.06768487,9.033749515,26.682656,81.6086303,32.4484612,5.027098,-16.70368485,17.19620737,4.106510055,-17.172573,16.86342483,-10.0247712,-24.242323,-39.18215045,42.24089569,15.86010334,-43.6904412,251.542878,-11.813368,-57.691166,73.13309714,82.47672914,38.32101985,72.611908,1468.500562,132.570877,5.160303,24.0049768,30.79080938,19.3791997,14.9351768,375.5533811,61.3227296,4.252985,33.52297354,34.83623838,9.522157668,34.179605,90.67148665,46.465252,10.822399,77.25306058,91.38246416,49.05656511,83.8846878,2406.54658,140.3270874,0.026043,36.11072689,48.50247174,32.54212993,42.0019018,1058.99022,77.5783672,-16.101406,2.188620992,2.793840289,1.745175215,2.5224824,3.045636531,4.9214402,-0.2325528,24.66972705,25.0999958,4.650645081,25.92931,21.62849967,30.6094604,10.566016,5.127083479,5.24455493,1.109303892,5.2674522,1.230555125,6.7189834,2.525101,0.962905457,1.125076081,0.584803694,0.7925366,0.341995361,2.344937,0.3184152,22.81495714,24.44530043,8.821618234,25.808379,77.82094827,31.528507,4.992169,-10.04107329,10.57817593,3.344458073,-9.0883114,11.1853998,-6.2989052,-17.859921,-33.98330403,36.09441344,12.22379425,-34.6396782,149.4211458,-12.946034,-50.5179786,73.71580959,80.13699643,31.58792158,79.645836,997.7967898,117.932014,9.685401,5.00303,10.96689573,9.807900777,3.7976158,96.19491766,24.421949,-9.8643098,25.00875231,25.70383876,5.966752152,26.2962794,35.60213125,33.7843876,10.938809,80.58419513,91.50035633,43.55786645,87.4795624,1897.287729,136.8093052,4.714528,26.9751395,34.23658263,21.18797521,31.1955464,448.9302935,54.4714288,-10.459642,-2.188620992,2.793840289,1.745175215,-2.5224824,3.045636531,0.2325528,-4.9214402,24.66972705,25.0999958,4.650645081,25.92931,21.62849967,30.6094604,10.566016,-5.127083479,5.24455493,1.109303892,-5.2674522,1.230555125,-2.525101,-6.7189834
1,2.674202963,2.778718317,0.758691728,2.71716464,0.575613138,4.00079752,1.59349168,24.50613814,26.117278,9.076178577,29.0118928,82.37701755,32.5404682,6.468168,-16.94263176,17.26377292,3.330906097,-17.19169632,11.09493543,-12.13166848,-22.6420768,-43.75997811,47.12799353,17.58332196,-46.52299896,309.1732111,-13.247406,-65.8956038,75.27978479,83.37187338,36.00918641,77.54085136,1296.661506,129.1763211,11.359521,23.03433501,29.97422258,19.27568842,17.6299048,371.5521642,58.83409912,2.78811352,34.54767006,35.65274228,8.851682928,33.96927368,78.35229067,48.054228,13.347727,80.28586346,93.50363226,48.16721362,92.48208112,2320.080467,136.2063035,0.07041,38.82601517,50.39599979,32.28963168,48.19350704,1042.620314,76.79227856,-15.248814,2.721836102,2.80063205,0.662947658,2.83542372,0.439499597,3.8046878,1.5035266,24.9612461,25.20375277,3.505281753,25.38893468,12.28700017,31.25838748,14.866114,6.333163074,6.988519821,2.969471217,5.2850548,8.817759311,12.14406812,2.670533,1.619804512,1.700921209,0.521593678,1.555601,0.272059965,2.55484948,0.543359,25.46237733,27.16352854,9.508936302,29.94359896,90.4198696,34.045586,5.46711,-13.80708692,14.11258824,2.935096706,-13.4816942,8.614792672,-7.626949,-18.99054316,-32.59711107,33.87152558,9.249631411,-34.67573848,85.55568124,-14.212765,-42.5587732,76.04185981,81.45572454,29.3461637,83.55975544,861.1973237,113.3488158,16.40521,6.491016373,10.93519067,8.84418184,6.317492,78.21955242,21.88192688,-8.488034,26.6466448,27.18172193,5.393547204,26.30052824,29.09035144,34.689857,12.310995,83.7862468,94.14283557,43.14122994,93.66771624,1861.165721,133.8444632,5.679383,28.92888042,36.2911459,22.02200762,35.5770816,484.9688198,53.81419496,-10.274204,-2.721836102,2.80063205,0.662947658,-2.83542372,0.439499597,-1.5035266,-3.8046878,24.9612461,25.20375277,3.505281753,25.38893468,12.28700017,31.25838748,14.866114,-6.333163074,6.988519821,2.969471217,-5.2850548,8.817759311,-2.670533,-12.14406812
1,3.059177965,3.141989285,0.720182,3.1110075,0.518662114,4.4922393,1.97862625,26.12173882,27.89193399,9.827048918,29.15676455,96.57089043,36.27845185,6.121373,-18.6233132,18.8767144,3.09799568,-18.90454775,9.597577236,-13.89257325,-24.62262255,-42.47257239,45.11177582,15.27954322,-46.17268025,233.4644411,-14.086468,-60.754244,71.47644028,80.14566814,36.43612316,71.781499,1327.591071,128.850876,8.463676,21.06169966,29.05842194,20.11975794,13.3435208,404.8046596,60.293539,-0.48941825,35.07847506,36.24004625,9.147128214,34.882187,83.66995457,47.616709,13.435195,78.50370515,91.77279754,47.77037567,85.4580951,2282.008792,138.0896749,0.154644,37.82691943,49.7042631,32.40423301,44.2524106,1050.034317,77.9441594,-16.582731,2.479160117,2.88302522,1.478937297,2.8826393,2.187255527,4.94000605,-0.0461666,25.214317,25.49019095,3.75871434,26.0976357,14.12793349,30.0357223,13.200512,7.591847101,7.83510524,1.946858758,7.543228,3.790259025,10.68338,4.224575,1.607267665,1.714518859,0.599856838,1.5891399,0.359828226,2.84004095,0.501164,25.35903832,27.05675051,9.480337159,28.41284065,89.87679264,35.67644305,6.46209,-13.72377056,14.12583584,3.362935222,-13.67148845,11.30933331,-7.378427,-20.50188635,-32.21351628,33.78684346,10.24102348,-34.15458225,104.878562,-13.414057,-45.1991524,72.98006893,78.55310767,29.20522669,79.27710345,852.9452662,110.9258154,13.11135,5.991086004,10.4051668,8.549744355,5.032471,73.09812854,20.0438637,-7.4282956,28.09058289,28.79809021,6.375864197,28.0550289,40.65164425,36.60979405,13.007944,81.16442673,91.59814484,42.66827314,86.527469,1820.581533,134.4786838,6.622906,27.79265894,35.38764171,22.01480928,32.3089757,484.6518278,54.567667,-11.840615,-2.479160117,2.88302522,1.478937297,-2.8826393,2.187255527,0.0461666,-4.94000605,25.214317,25.49019095,3.75871434,26.0976357,14.12793349,30.0357223,13.200512,-7.591847101,7.83510524,1.946858758,-7.543228,3.790259025,-4.224575,-10.68338
1,3.307500579,3.401417314,0.797734579,3.34392379,0.636380459,4.54108534,2.06220054,24.99185175,26.76710276,9.633482639,28.38792772,92.80398775,35.36135432,6.916959,-19.67333156,19.96256656,3.40275328,-19.90107135,11.57872988,-14.27122526,-24.81609603,-40.26523206,43.47600311,16.47915873,-42.00329836,271.5626725,-12.560978,-60.55690984,67.15823437,75.15792865,33.90974273,67.61531082,1149.870652,117.471821,10.922218,19.45395426,25.48035801,16.53784239,12.0403998,273.500231,50.495487,3.1352917,35.37561914,36.52358,9.130325365,35.836051,83.36284127,47.84558964,13.881934,73.44346286,87.40368711,47.6226512,77.46767876,2267.916907,133.385521,0.025824,34.49537091,47.46914878,32.77229571,38.40055608,1074.023366,74.75284519,-15.705753,2.999748378,3.343039315,1.482968559,3.23074542,2.199195748,4.86018897,0.76528236,24.73254868,24.95459562,3.338144253,25.49220257,11.14320705,29.97295632,15.246654,6.843923104,6.987910742,1.418283897,6.43074825,2.011529214,9.44870998,4.399277,1.737460371,1.798931446,0.468571942,1.72141359,0.219559665,2.58637568,0.9218176,24.62789196,26.53416457,9.924923949,27.50792805,98.50411539,35.43032654,7.124442,-14.47574669,14.70982822,2.626808383,-14.41691589,6.900122283,-9.841898,-19.15903446,-31.68731494,32.92709748,8.994937372,-32.4591436,80.90889833,-14.959999,-43.55240372,69.95313398,75.4277234,28.35241626,75.53088409,803.8595078,106.67683,16.1187,4.942604923,9.109046623,7.689658044,4.87401632,59.13084083,18.047582,-5.414171,28.25176936,28.83242936,5.786015565,28.5555078,33.47797612,35.8443165,13.927178,77.00505268,87.70428521,42.18869684,80.66849788,1779.886141,130.3613435,7.43835,25.63870166,33.69323677,21.96975405,29.63112765,482.6700932,52.3000905,-11.768787,-2.999748378,3.343039315,1.482968559,-3.23074542,2.199195748,-0.76528236,-4.86018897,24.73254868,24.95459562,3.338144253,25.49220257,11.14320705,29.97295632,15.246654,-6.843923104,6.987910742,1.418283897,-6.43074825,2.011529214,-4.399277,-9.44870998
1,3.204930465,3.305664126,0.813876149,3.28526154,0.662394387,4.70289628,1.9900214,22.4462698,24.25639417,9.240292548,24.60425529,85.38300638,32.7556244,6.043161,-19.23274754,19.54103032,3.474596536,-19.65124792,12.07282109,-13.94427358,-25.45258576,-39.72120441,43.10929066,16.83577234,-40.2349817,283.4432304,-13.078604,-63.13791744,63.99346222,70.96779859,30.83306476,64.3947476,950.6778826,106.6435622,10.750128,16.44559727,20.48607637,12.27655783,10.72665935,150.7138721,38.33700508,2.1748297,35.57785502,36.9217762,9.920087107,36.4334107,98.40812821,49.7053291,13.256242,67.9346773,82.17733523,46.46906483,67.03834403,2159.373986,129.9640026,0.08599,30.55167188,44.05517497,31.8987198,31.33335666,1017.528325,72.19689643,-16.033321,3.224980297,3.343224965,0.885675901,3.46777,0.784421802,4.63169332,1.30674318,24.64257553,24.92609347,3.76751151,24.74980076,14.19414297,30.51852212,14.866658,6.24618338,6.562672298,2.023462253,6.51288608,4.094399489,9.90983456,3.32149014,1.675136336,1.730661057,0.437032045,1.62503836,0.190997008,2.38585841,0.681267,22.93594597,24.6654676,9.118714329,24.44491895,83.15095101,33.3359645,7.107965,-14.13014166,14.34080618,2.461259176,-13.87427112,6.057796731,-8.437124,-18.0815105,-31.01119396,32.53798528,9.899323141,-30.78216838,97.99659865,-15.241852,-45.60039248,68.31006054,73.84949181,28.20209034,72.6663605,795.3578994,106.7266016,15.957702,5.22227733,9.523733472,8.003974758,4.43687156,64.06361192,20.25870849,-5.052685,29.00028728,29.77126781,6.764971676,29.82362288,45.76484178,38.78554418,13.968318,72.09181557,83.15754359,41.65485152,71.68990918,1735.126656,129.4722413,6.663252,22.64410051,31.85849421,22.52177721,22.94938664,507.2304489,52.66498118,-12.558609,-3.224980297,3.343224965,0.885675901,-3.46777,0.784421802,-1.30674318,-4.63169332,24.64257553,24.92609347,3.76751151,24.74980076,14.19414297,30.51852212,14.866658,-6.24618338,6.562672298,2.023462253,-6.51288608,4.094399489,-3.32149014,-9.90983456
