"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,13.206531,-9.93679,3.874028,0.128679,6.851294,-8.488002,4.895709,1.345264,-5.488139,17.322086,-10.88495,0.822988,3.815959,7.214688,-6.110962,5.808094,0.585999,-1.322375,15.016155,2.288789,2.758655,15.016155,-2.288789,-2.758655
1,17.0966024,-10.91122342,4.60962999,2.55324879,8.42438673,-7.6190928,5.43369933,1.55230309,-6.48034388,20.85372364,-11.24998142,2.56065391,5.47712457,8.24309236,-6.32538632,5.87067414,0.73902659,-2.27271494,16.50350169,2.36680046,2.75030462,16.50350169,-2.36680046,-2.75030462
2,21.19705278,-11.94661456,5.35163502,4.9845071,10.19878018,-6.62882836,5.92895178,1.7684709,-7.51205714,24.67580462,-11.77002336,4.66765008,7.22116582,9.64681262,-6.56669,5.96900084,0.9300636,-3.45725978,18.10407338,2.49136992,2.7275906,18.10407338,-2.49136992,-2.7275906
3,25.33027964,-13.01040651,6.09447298,7.27479687,12.097855,-5.52328317,6.30018922,1.97610112,-8.49833692,28.59073832,-12.44224051,6.77487953,8.98705295,11.39448665,-6.67806364,6.1202939,1.14245713,-4.77067687,19.73946959,2.60773588,2.5778251,19.73946959,-2.60773588,-2.5778251
4,29.35242792,-14.07987216,6.86713024,9.3847504,14.03895856,-4.32772576,6.51845768,2.15781292,-9.35728636,32.38133016,-13.24510804,8.44542036,10.78625156,13.38920428,-6.49324508,6.35628884,1.35086592,-6.0545298,21.31004916,2.61652712,2.21024692,21.31004916,-2.61652712,-2.21024692
5,33.17604985,-15.171869,7.6549675,11.34720295,15.97918075,-3.1051714,6.600906,2.3099874,-10.0733143,35.96224665,-14.1091671,9.69842165,12.6421282,15.5458459,-6.00343815,6.68327245,1.54878345,-7.26808745,22.7492404,2.4729484,1.7165785,22.7492404,-2.4729484,-1.7165785
6,36.80396172,-16.26576306,8.43750392,13.22555498,17.92258178,-1.9402329,6.59626878,2.44134776,-10.68880936,39.412899,-15.01743616,10.8638465,14.55326872,17.85088752,-5.31663222,7.08217062,1.74044922,-8.437016,24.06847756,2.26677752,1.25511266,24.06847756,-2.26677752,-1.25511266
7,40.27229693,-17.36860338,9.22296262,15.12075918,19.916443,-0.8603311,6.57952175,2.55812797,-11.23385822,42.79550665,-15.94171616,12.08944718,16.5247969,20.26250009,-4.51650461,7.53072857,1.91793287,-9.51312227,25.28462689,2.08887784,0.90756529,25.28462689,-2.08887784,-0.90756529
8,43.61977484,-18.46457064,10.03040868,17.14319712,21.98002764,0.165515200000001,6.63129952,2.6666016,-11.7382642,46.13994456,-16.88488292,13.39216364,18.57139776,22.75178264,-3.66040296,8.008823,2.066565,-10.40908496,26.40447084,2.00599812,0.69419608,26.40447084,-2.00599812,-0.69419608
9,46.85002719,-19.56106864,10.86680388,19.38654653,24.09559983,1.20982268,6.82168309,2.77289092,-12.23068379,49.43170909,-17.81940541,14.74256706,20.7206211,25.29603881,-2.78166181,8.50847581,2.17374054,-11.05194603,27.40348127,2.02552969,0.63076143,27.40348127,-2.02552969,-0.63076143
10,49.9472388,-20.6830467,11.7446017,21.9113489,26.2399265,2.3655702,7.1963303,2.8789127,-12.7200062,52.6096759,-18.6966651,16.0434333,23.0226803,27.8345389,-1.867773,9.0443216,2.2335407,-11.4094169,28.2391393,2.1075459,0.6955041,28.2391393,-2.1075459,-0.6955041
11,52.89977998,-21.81288651,12.67918178,24.72434266,28.38290432,3.69171792,7.76622759,2.98234447,-13.19552748,55.62697581,-19.51324243,17.22588097,25.53295629,30.30627983,-0.8786602,9.64893183,2.249952,-11.50736191,28.88852804,2.22095098,0.82672143,28.88852804,-2.22095098,-0.82672143
12,55.69851804,-22.92263388,13.68394376,27.7878712,30.48962248,5.1951426,8.50774532,3.07257244,-13.60880436,58.43671604,-20.27503468,18.23358664,28.28851672,32.6359466,0.229535480000001,10.35808264,2.23252908,-11.40337772,29.34394608,2.32569076,0.94442476,29.34394608,-2.32569076,-0.94442476
13,58.35201056,-23.95225605,14.77113941,31.02131735,32.51787059,6.82706052,9.36712778,3.13533032,-13.89539113,61.01457354,-21.02812391,19.03112558,31.28408372,34.75907703,1.47712775,11.19073439,2.19118925,-11.15634693,29.628016,2.39396905,0.95423526,29.628016,-2.39396905,-0.95423526
14,60.87808958,-24.84078484,15.92016964,34.29792672,34.43342138,8.4928191,10.270171,3.16195106,-14.0167432,63.40841654,-21.82950264,19.71701996,34.43700716,36.68517326,2.82176462,12.13226098,2.13751918,-10.83499456,29.80302114,2.43972064,0.81028592,29.80302114,-2.43972064,-0.81028592
15,63.2655334,-25.6893743,17.09601515,37.48956755,36.22743405,10.10881755,11.13906465,3.1497807,-13.96128025,65.63485795,-22.5687221,20.4008228,37.59641465,38.44487235,4.17429255,13.1322763,2.0824236,-10.5043815,29.9079315,2.4242799,0.6125562,29.9079315,-2.4242799,-0.6125562
16,65.51216124,-26.64711152,18.33330952,40.52092528,37.90459376,11.64657352,11.91337812,3.10046316,-13.7362584,67.60389564,-23.10788912,20.95268416,40.64660588,40.0069806,5.49012236,14.1251842,2.02532324,-10.16098528,29.93875372,2.2455162,0.46885868,29.93875372,-2.2455162,-0.46885868
17,67.67219554,-27.6530295,19.59017754,43.3164195,39.50893791,13.06850547,12.55560139,3.03161907,-13.42140164,69.469899,-23.5684962,21.57928099,43.47097646,41.55827603,6.70876734,15.03295292,1.97101158,-9.83366044,29.99290859,2.02196515,0.39589527,29.99290859,-2.02196515,-0.39589527
18,69.79669158,-28.60916412,20.80228116,45.88741528,41.10088898,14.4051972,13.06671098,2.95984956,-13.09226664,71.3972917,-24.1248114,22.48622508,46.02976916,43.28769702,7.82608116,15.7953431,1.92265914,-9.54169702,30.15179056,1.89533792,0.34427836,30.15179056,-1.89533792,-0.34427836
19,71.88804429,-29.63213766,22.1067457,48.39873358,42.67476276,15.8023526,13.48875078,2.8836165,-12.74167736,73.11589118,-24.68230288,23.18381945,48.4445192,44.97666561,8.96551321,16.40617726,1.8669684,-9.20479421,30.28734896,1.67614,0.32016963,30.28734896,-1.67614,-0.32016963
20,73.9549852,-30.7735548,23.5764882,51.0177276,44.2047484,17.3692762,13.8812788,2.80145,-12.362678,74.49478,-25.166874,23.460941,50.8363388,46.4837132,10.2023036,16.8912454,1.8017234,-8.8092626,30.3074532,1.2789272,0.3520426,30.3074532,-1.2789272,-0.3520426
21,75.99921015,-31.93083623,25.12966438,53.82705986,45.67720451,19.10946107,14.30244975,2.71842333,-11.9785759,75.72876876,-25.62998531,23.62935464,53.3271535,47.89439734,11.56971837,17.30090414,1.73523877,-8.40533449,30.23447729,0.84510217,0.44237453,30.23447729,-0.84510217,-0.44237453
22,77.9895764,-33.06930882,26.70008282,56.87023902,47.07342162,20.9834714,14.80063772,2.63647568,-11.59836214,76.9890159,-26.01854358,23.97808944,56.05272856,49.2566565,13.10472164,17.70413142,1.67371708,-8.03079816,30.07224712,0.47691082,0.65395944,30.07224712,-0.47691082,-0.65395944
23,79.90577825,-34.16769126,28.28534213,60.20848109,48.35758757,22.98136024,15.40738051,2.54784782,-11.18595965,78.30331043,-26.28722219,24.54065448,59.14049868,50.49346698,14.84714589,18.17031875,1.61467237,-7.67068142,29.7869666,0.18040713,0.9903372,29.7869666,-0.18040713,-0.9903372
24,81.75892036,-35.15250952,29.91213228,63.91390436,49.48011948,25.13584008,16.12789444,2.43856092,-10.67577656,79.60039792,-26.51195236,25.1541792,62.66303572,51.46704196,16.81413384,18.74282984,1.54773796,-7.26169372,29.341651,-0.0920415199999995,1.33947408,29.341651,0.0920415199999995,-1.33947408
