"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,5.885766,-10.887375,6.919583,0.223914,8.538936,-9.045547,8.16072,3.501078,-20.566328,10.670594,-15.289266,-15.099976,10.010082,8.08939,-0.477677,8.892818,0.154069,-5.324165,13.019807,2.18964,0.685338,13.019807,-2.18964,-0.685338
1,7.61442175,-11.31895725,6.85256175,2.205294,9.67895975,-8.0320585,9.0435315,3.66138375,-21.23882275,12.56740775,-15.731433,-14.97674675,12.3228905,8.122839,0.47147775,9.691846,0.23462275,-5.8023545,13.41634875,2.26896075,0.80538525,13.41634875,-2.26896075,-0.80538525
2,9.591662,-11.863017,6.784175,4.446942,11.0164255,-6.917135,10.0250435,3.8274425,-21.928895,14.754426,-16.2452625,-14.77413,14.957136,8.2113295,1.5061225,10.585965,0.323408,-6.328455,13.8817585,2.356435,0.9494085,13.8817585,-2.356435,-0.9494085
3,11.79846275,-12.52464075,6.708441,6.93406525,12.539296,-5.68952325,11.09219775,3.9954345,-22.620103,17.2138445,-16.82484325,-14.48107775,17.8831565,8.364828,2.6349265,11.55881225,0.42235875,-6.913518,14.41160675,2.452362,1.11923375,14.41160675,-2.452362,-1.11923375
4,14.205997,-13.304719,6.617814,9.649674,14.223087,-4.337767,12.229363,4.160491,-23.292383,19.914591,-17.459448,-14.092083,21.059559,8.589634,3.86715,12.591385,0.53327,-7.567553,14.996997,2.556282,1.314523,14.996997,-2.556282,-1.314523
5,16.77881825,-14.20031925,6.50500375,12.57828,16.031846,-2.85117275,13.4196705,4.31692425,-23.923135,22.81639425,-18.13531475,-13.60724675,24.43912275,8.8881665,5.21029075,13.66442875,0.65728675,-8.29647325,15.6253555,2.66697725,1.532968,15.6253555,-2.66697725,-1.532968
6,19.4734515,-15.20152,6.366753,15.701072,17.917794,-1.225963,14.645086,4.459367,-24.49205,25.868951,-18.83665,-13.03479,27.969712,9.255872,6.662753,14.760133,0.793875,-9.0961145,16.280343,2.782423,1.7699085,16.280343,-2.782423,-1.7699085
7,22.24685225,-16.2950315,6.206052,19.001816,19.8297455,0.53607025,15.88954075,4.58320825,-24.98243,29.0228135,-19.548778,-12.38762075,31.60596175,9.6822625,8.213878,15.8655125,0.94076775,-9.95206,16.944595,2.90025025,2.019433,16.944595,-2.90025025,-2.019433
8,25.058184,-17.464445,6.034236,22.464096,21.717859,2.425509,17.139921,4.685218,-25.383383,32.23148,-20.258511,-11.683236,35.310608,10.149181,9.842257,16.972881,1.093867,-10.839363,17.600742,3.017695,2.274605,17.600742,-3.017695,-2.274605
9,27.87144075,-18.69181,5.87145775,26.0712575,23.53844475,4.42681,18.386966,4.76375375,-25.6902005,35.453989,-20.954662,-10.94189675,39.0555995,10.631286,11.5177775,18.079521,1.247758,-11.7258695,18.23246275,3.13170725,2.5278645,18.23246275,-3.13170725,-2.5278645
